Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest - Baseline,0.9953161592505855,0.9925233644859813,1.0,0.9962476547842402,0.9991370916490294
XGBoost - Baseline,0.9953161592505855,0.9925233644859813,1.0,0.9962476547842402,0.9985365540804487
Logistic Regression - Baseline,0.9133489461358314,0.9208103130755064,0.9416195856873822,0.931098696461825,0.9730924186504814
